Proteins,p_value ,q-value L166P(1&2)/WT,FC
DRG2,1.6747,0.132959,-1.04323
DROSHA,0.0461334,0.911878,-0.0648668
DSCC1,1.95078,0.113877,-1.10085
DSE,1.82514,0.223434,-0.666657
DSG2,5.87934,0.00161111,3.73778
DST,2.1716,0.0820303,1.28079
DSTN,0.657449,0.228245,0.916398
DSTYK,0.261999,0.710148,-0.17293
DTD1,1.85539,0.0391975,1.90418
DTD2,3.54939,0.0060503,2.51377
DTNA,4.08476,0.0506869,1.29847
DTNB,2.29674,0.010264,2.75201
DTNBP1,1.95089,0.321118,0.458637
DTX3,0.071754,0.938747,-0.0349953
DTX3L,0.180492,0.800517,0.115644
DTYMK,1.5331,0.0379519,-2.12795
DUS1L,0.0856002,0.891874,-0.0657657
DUS2,2.16158,0.112793,-1.07388
DUS3L,2.61811,0.144774,-0.876126
DUSP11,2.79891,0.158076,0.819038
DUSP12,0.0734321,0.965606,0.0180771
DUSP19,2.35166,0.023863,2.04059
DUSP22,0.906048,0.270284,-0.649399
DUSP23,4.05925,0.0179747,1.78899
DUSP28,0.461449,0.675893,-0.176735
DUSP3,3.61584,0.0855315,1.09759
DUSP7,2.86674,0.157468,-0.81761
DUT,0.344332,0.525177,-0.341776
DVL1,1.02487,0.419068,0.366516
DVL2,2.01264,0.258246,-0.570372
DVL3,1.16628,0.378454,0.409176
DXO,0.180684,0.818069,0.104279
DYNC1H1,1.78865,0.16356,-0.880931
DYNC1I1,5.35071,0.00342991,2.88194
DYNC1I2,1.66508,0.0910102,1.33403
DYNC1LI1,0.642288,0.712643,0.150144
DYNC1LI2,2.81709,0.0747836,1.24051
DYNC2H1,1.2715,0.15079,-1.03782
DYNC2LI1,2.68678,0.0278438,-1.80958
DYNLL1,2.36185,0.013231,-2.49299
DYNLL2,2.13852,0.0203109,-2.28555
DYNLRB1,1.76676,0.268096,0.561858
DYNLT1,2.04426,0.0826687,-1.30833
DYRK1A,0.576177,0.581637,-0.240416
DYSF,5.35353,0.00869316,1.97133
DZIP1,3.15413,0.0270618,1.71693
DZIP3,0.895264,0.195802,-0.950098
E2F3,0.217551,0.780622,0.125194
E2F4,2.16745,0.0230836,-2.13296
E2F8,2.3014,0.150031,0.872744
E4F1,1.59453,0.108413,1.22546
EAPP,0.441234,0.441243,0.439274
EARS2,0.0662478,0.932,-0.0399
EBF1,2.8801,0.0233721,-1.84034
EBF4,1.52631,0.0303941,-2.37084
EBNA1BP2,2.32358,0.215626,-0.657515
EBP,0.569561,0.213769,-1.11244
ECD,0.555044,0.458844,-0.364336
ECE1,2.69644,0.0523048,-1.44388
ECH1,2.84945,0.119571,0.973613
ECHDC1,1.25783,0.229661,-0.707295
ECHS1,2.55579,0.211679,0.657835
ECI1,1.24641,0.272305,0.592356
ECI2,3.40677,0.0434364,1.4277
ECM1,0.495401,0.307279,0.712329
ECPAS,1.98819,0.207264,-0.700445
ECSCR,3.82972,0.00476364,-2.76307
ECSIT,0.759983,0.451814,0.352422
ECT2,1.79265,0.0710067,1.44752
EDC3,3.04173,0.263988,-0.528873
EDC4,0.258193,0.715447,-0.179236
EDEM1,2.40954,0.18031,0.755669
EDEM2,3.55843,0.0246547,1.67831
EDEM3,0.91836,0.299664,-0.576892
EDF1,1.72177,0.196309,0.763731
EDIL3,4.3769,0.0467534,1.3103
EDRF1,1.26361,0.20655,-0.785478
EEA1,1.66406,0.140841,-1.00175
EED,3.24576,0.106669,-1.00557
EEF1A1,0.484912,0.528449,-0.295828
EEF1A2,0.166877,0.839057,0.0906735
EEF1AKMT1,0.339196,0.742452,0.141388
EEF1AKMT2,0.827827,0.204079,0.934762
EEF1AKNMT,1.72901,0.326162,-0.459336
EEF1B2,2.38701,0.275566,0.522818
EEF1D,3.69381,0.109489,0.962306
EEF1E1,1.92737,0.0928674,-1.25148
EEF1G,0.423466,0.627605,0.215584
EEF2,2.19373,0.415742,0.337845
EEF2K,3.79345,0.09668,-1.01762
EEFSEC,1.65384,0.277395,0.549427
EEPD1,1.9793,0.193492,0.749314
EFCAB14,0.681614,0.674862,-0.169761
EFEMP2,1.89534,0.115063,1.10524
EFHD1,1.27791,0.304606,0.522038
EFHD2,0.686612,0.461153,0.353421
EFL1,0.455345,0.795109,0.104261
EFNB1,2.54351,0.0756133,-1.26201
EFNB2,2.14026,0.0245705,2.09822
EFNB3,0.40107,0.476621,-0.37604
EFR3A,1.496,0.439383,-0.329458
EFTUD2,3.63909,0.126371,-0.89741
EGFR,6.14735,0.0103718,-1.82984
EGLN1,2.67296,0.0238392,1.9238
EHBP1,1.24428,0.332965,0.473252
EHBP1L1,1.25286,0.253612,0.637908
EHD1,0.817408,0.5547,-0.249948
EHD2,3.63851,0.0612619,-1.24692
EHD3,2.95318,0.0358225,-1.60219
EHD4,0.889409,0.495854,0.297899
EHHADH,2.62216,0.0307909,1.7606
EHMT1,1.55599,0.296129,0.519518
EHMT2,1.03634,0.235165,0.729812
EI24,1.09002,0.240947,-0.699407
EIF1,1.45989,0.115963,-1.20824
EIF1AD,3.07301,0.027111,1.72528
EIF1AX,0.857623,0.258641,-0.695349
EIF2A,2.76161,0.0629335,-1.33788
EIF2AK1,1.46942,0.130087,1.1034
EIF2AK2,0.3823,0.736725,-0.143623
EIF2AK3,2.04606,0.0626243,1.4709
EIF2AK4,1.45647,0.131562,-1.11006
EIF2B1,2.0161,0.0877693,-1.26708
EIF2B2,1.97152,0.0748214,-1.38099
EIF2B3,1.31211,0.63408,-0.184632
EIF2B4,1.99254,0.246809,-0.597251
EIF2B5,0.921132,0.368345,-0.452084
EIF2D,2.32608,0.106427,-1.08418
EIF2S1,0.439325,0.769415,-0.120907
EIF2S2,1.82505,0.127624,-1.05315
EIF2S3,2.14669,0.155152,-0.871217
EIF3A,1.69342,0.287304,0.528995
EIF3B,1.04625,0.475308,0.307905
EIF3CL,1.60331,0.326416,-0.46312
EIF3D,2.31678,0.171068,0.797252
EIF3E,0.220242,0.822112,0.0995053
EIF3F,2.25607,0.0885793,-1.21623
EIF3G,0.758468,0.21174,-0.936959
EIF3H,2.18574,0.0727585,-1.35063
EIF3I,0.370124,0.458179,0.438481
EIF3J,0.324756,0.756263,-0.134163
EIF3K,1.43341,0.22213,0.705959
EIF3L,0.992423,0.366166,-0.439133
EIF3M,1.35899,0.108099,-1.30173
EIF4A1,0.322138,0.776002,0.126281
EIF4A2,1.07396,0.291891,-0.568035
EIF4A3,1.29285,0.249292,-0.645646
EIF4B,2.22993,0.0566025,1.49441
EIF4E,1.61432,0.419945,-0.345305
EIF4E2,0.674544,0.396124,-0.442754
EIF4EBP1,0.923363,0.571117,-0.233043
EIF4EBP2,4.18586,0.0154492,1.84073
EIF4ENIF1,2.11153,0.103086,1.14388
EIF4G1,0.634628,0.571129,0.254076
EIF4G2,0.17771,0.789472,0.130732
EIF4G3,1.2948,0.300778,0.532792
EIF4H,2.08838,0.111247,1.0939
EIF5,2.25563,0.195311,-0.723298
EIF5A,1.56802,0.146257,-0.994793
EIF5B,2.42832,0.0162548,-2.22913
EIF6,0.142839,0.914857,0.0458713
EIPR1,0.385758,0.56547,-0.277937
ELAC2,1.65326,0.232024,0.655829
ELAVL1,2.5611,0.185134,-0.733989
ELAVL3,2.23692,0.116683,1.04345
ELF1,1.57513,0.240831,0.639452
ELF2,0.130828,0.79474,-0.130467
ELFN2,1.81872,0.0238273,2.31087
ELL,0.773491,0.352799,0.489245
ELMO2,2.21109,0.109188,-1.09086
ELMOD2,1.45911,0.111383,-1.24838
ELOA,2.88859,0.133091,-0.910945
ELOB,1.13844,0.0849371,-1.70983
ELOC,0.421473,0.747172,0.135841
ELOVL1,3.30509,0.0206146,1.83863
ELOVL5,0.741076,0.128583,-1.68084
ELP1,2.10327,0.13655,-0.960545
ELP2,1.69267,0.280823,-0.540567
ELP3,2.77643,0.27377,-0.516668
ELP4,1.72663,0.233511,0.646832
ELP5,1.22695,0.170114,-0.951879
ELP6,2.38621,0.0626014,-1.40723
EMC1,0.083634,0.908647,-0.0558108
EMC10,0.0795303,0.932125,0.040113
EMC2,2.54896,0.353845,0.401822
EMC3,2.10865,0.0653937,-1.44664
EMC4,2.61609,0.147988,0.861203
EMC6,2.60016,0.049721,1.46953
EMC7,0.767368,0.443375,0.367768
EMC8,0.211265,0.79505,-0.122658
EMD,1.09144,0.459141,0.321332
EMG1,2.2733,0.0819792,-1.25593
EMILIN1,4.44232,0.00541401,-2.35471
EML1,1.13551,0.524468,0.263139
EML2,1.40061,0.386528,-0.392326
EML3,0.863229,0.356079,0.469654
EML4,1.53492,0.373798,0.398922
EMSY,2.06367,0.314771,-0.464903
EN2,2.01386,0.135527,-0.973202
ENAH,3.39375,0.0168805,1.90294
ENC1,3.55914,0.00803204,2.3124
ENDOD1,0.952807,0.4586,0.329237
ENDOG,1.89565,0.1526,0.904039
ENG,3.24377,0.010666,-2.21139
ENGASE,2.74928,0.115429,-1.00477
ENO1,0.85556,0.295026,-0.59903
ENO2,2.01627,0.0637248,1.48776
ENO3,0.136067,0.653073,-0.313068
ENOPH1,0.239166,0.731082,-0.167467
ENOSF1,0.146528,0.899527,-0.0545101
ENPP1,3.40319,0.0944283,-1.05419
ENPP4,2.55347,0.0167812,2.15008
ENSA,2.0046,0.0483583,1.67167
ENTPD4,1.53576,0.548047,-0.237952
ENTPD5,2.60184,0.0626079,-1.34931
ENTR1,3.06101,0.00607012,2.72831
ENY2,1.96669,0.0483293,1.6845
EOGT,1.21983,0.356065,0.439111
EP300,3.47287,0.0978468,-1.0346
EP400,1.86563,0.455299,-0.307009
EPB41,2.10502,0.141427,0.934054
EPB41L1,3.33094,0.0738987,1.18275
EPB41L2,0.595453,0.29455,-0.679581
EPB41L3,0.0141959,0.981929,-0.0114405
EPB41L4B,1.68184,0.249808,0.607909
EPB41L5,0.0164591,0.984213,-0.00840379
EPC1,1.80103,0.296926,0.506184
EPDR1,2.04295,0.156812,0.882038
EPG5,0.0043338,0.992893,-0.00411141
EPHA2,3.03201,0.0712115,1.22536
EPHA3,3.56438,0.0411243,-1.42883
EPHA4,2.41753,0.0263396,-1.88627
EPHA5,0.775291,0.380451,0.441383
EPHA7,3.56817,0.0295064,-1.59096
EPHB2,3.85033,0.180033,-0.70738
EPHB3,3.67488,0.121888,-0.913504
EPHB4,4.97893,0.00913347,-1.98427
EPHX1,1.35597,0.124787,-1.19405
EPM2AIP1,1.14827,0.219615,-0.762402
EPN1,1.0359,0.305513,-0.547575
EPN2,2.33593,0.0763241,1.29229
EPPK1,6.38254,0.00934576,1.85054
EPRS1,1.68055,0.23089,-0.657157
EPS15,2.43064,0.10057,-1.11436
EPS15L1,1.60553,0.202725,0.752452
EPS8,2.28839,0.321039,-0.449986
EPS8L2,5.52584,0.0154496,1.71068
ERAL1,0.683705,0.505543,0.298032
ERAP1,2.85916,0.0727496,-1.24613
ERAP2,0.506049,0.390398,-0.48267
ERBB2,1.67907,0.404835,-0.362637
ERBIN,2.26436,0.328876,0.440809
ERC1,0.189473,0.884395,0.0616221
ERC2,2.9147,0.0788292,1.19312
ERCC1,1.42906,0.142232,1.05233
ERCC2,2.07382,0.104499,-1.14218
ERCC3,0.0748818,0.861568,-0.0998706
ERCC4,1.43571,0.0809119,-1.50159
ERCC5,0.308172,0.689256,-0.188634
ERCC6,0.663112,0.341619,0.531793
ERCC6L,2.61381,0.0851862,-1.16968
ERCC8,0.770501,0.473738,0.323953
ERF,2.77238,0.0789687,1.21475
ERG28,2.33629,0.039044,-1.6863
ERGIC1,1.70126,0.0308505,-2.19593
ERGIC2,1.95684,0.0304437,-2.02055
ERGIC3,1.85375,0.188793,-0.774004
ERH,3.06372,0.00489565,-3.14936
ERI1,0.254975,0.710562,-0.177324
ERI3,1.59476,0.0251992,-2.5811
ERICH1,2.69587,0.106541,1.05329
ERICH5,3.51837,0.00218033,4.1386
ERLEC1,0.363084,0.714995,-0.166323
ERLIN1,0.192291,0.856355,-0.078481
ERLIN2,2.7441,0.0690234,1.27776
ERMN,1.2289,0.0543753,2.1421
ERMP1,2.04126,0.0301562,-2.00247
ERN1,1.98377,0.0236079,-2.22963
ERO1A,0.9127,0.263883,-0.669055
ERP29,1.08818,0.374701,0.418991
ERP44,1.67074,0.150598,0.94911
ERRFI1,3.51833,0.00543182,2.61067
ESD,0.143324,0.886185,-0.0627885
ESF1,2.95216,0.048456,1.44068
ESS2,3.17986,0.036379,1.56499
ESYT1,0.620798,0.450276,0.380415
ESYT2,2.90995,0.192623,-0.699277
ETAA1,0.675471,0.31461,0.591736
ETF1,1.56463,0.0835161,-1.44526
ETFA,1.90462,0.233491,0.6351
ETFB,2.14491,0.125815,0.99661
ETFDH,0.179459,0.865784,-0.0728295
ETHE1,0.747506,0.377587,0.44844
EVA1A,3.09287,0.0131758,2.16127
EVA1B,2.00833,0.086496,-1.2783
EVC,0.959337,0.241765,-0.727923
EVI2B,3.3871,0.0146879,-2.0175
EVI5,3.25024,0.110656,0.986162
EVI5L,3.29625,0.0910082,1.08488
EVL,0.0578038,0.971917,0.0150175
EWSR1,1.31509,0.0830578,-1.54984
EXD2,1.84404,0.370763,0.39736
EXOC1,1.10847,0.346205,-0.46199
EXOC2,1.35751,0.304648,-0.516245
EXOC3,1.41202,0.332133,-0.463569
EXOC4,1.21484,0.332157,-0.47675
EXOC5,1.97786,0.158084,0.880838
EXOC6,2.50797,0.214514,0.654297
EXOC6B,1.83101,0.39581,-0.366615
EXOC7,0.498209,0.618277,0.221064
EXOC8,3.12559,0.175277,0.745043
EXOG,3.3097,0.257624,0.534509
EXOSC1,0.736189,0.453262,0.348699
EXOSC10,0.563778,0.74996,-0.128968
EXOSC2,0.467267,0.77364,-0.117227
EXOSC4,0.871757,0.525258,0.272195
EXOSC5,0.952683,0.321657,-0.522246
EXOSC6,0.202524,0.630097,-0.262853
EXOSC7,1.91769,0.0817309,-1.30818
EXOSC8,0.988049,0.204988,-0.864451
EXOSC9,0.549878,0.311628,-0.650207
EXT1,1.06718,0.322418,-0.504868
EXT2,1.54843,0.129461,-1.08733
EXTL2,2.24915,0.0166934,-2.40225
EXTL3,0.39915,0.724942,0.149681
EYA3,0.182393,0.815239,-0.104886
EZH2,3.66222,0.102985,-0.990751
EZR,3.69965,0.0733935,1.1653
F11R,3.36158,0.00439103,3.23488
F3,1.94256,0.136811,0.973875
F8A1,0.0450475,0.965144,0.0193357
FABP3,3.17151,0.0152055,-2.034
FABP5,0.0307091,0.940961,-0.0448973
FABP7,1.31298,0.156904,-1.00394
FADD,0.810011,0.228023,-0.825655
FADS1,1.02632,0.278237,-0.610409
FADS2,2.07707,0.11566,-1.07618
FADS3,4.12217,0.00721303,2.21406
FAF1,3.53551,0.181038,-0.711852
FAF2,0.262357,0.783826,-0.122578
FAH,1.03688,0.455146,0.329529
FAHD1,0.383894,0.558704,0.294324
FAHD2A,1.70283,0.420413,0.341515
FAM102A,3.07167,0.0410446,1.49827
FAM107B,4.01556,0.0833287,1.07762
FAM110A,3.82835,0.0179886,1.81374
FAM111A,2.07925,0.0955919,1.19315
FAM114A1,0.304204,0.791419,-0.113552
FAM114A2,0.313451,0.742787,-0.149855
FAM118B,1.87411,0.180679,0.796015
FAM120A,1.36528,0.673387,0.162436
FAM120B,0.369764,0.58754,-0.259255
FAM120C,1.1668,0.230877,0.718725
FAM122A,1.58731,0.43069,-0.334404
FAM122B,1.49587,0.304731,0.507342
FAM126A,2.22096,0.231598,-0.621677
FAM131B,0.356985,0.756071,-0.131932
FAM135A,0.594506,0.728369,0.140643
FAM136A,0.0464825,0.921056,0.053228
FAM13A,1.48082,0.121475,-1.15078
FAM156A,0.376576,0.559325,0.283848
FAM160A2,1.87279,0.187979,0.774968
FAM160B1,0.84713,0.21706,-0.865291
FAM160B2,0.143017,0.75974,-0.167322
FAM161A,2.63302,0.0673282,1.32115
FAM162A,2.59471,0.13477,0.920859
FAM168A,3.62037,0.156911,-0.787547
FAM169A,0.157016,0.835829,-0.0969035
FAM171A1,1.94472,0.122549,1.05567
FAM171A2,1.43662,0.206478,0.758487
FAM171B,0.401905,0.543145,0.294105
FAM172A,1.50643,0.240205,-0.649082
FAM177A1,1.84012,0.260157,0.574681
FAM193A,1.27012,0.21685,0.747218
FAM193B,0.516893,0.590229,0.237281
FAM204A,1.45495,0.16316,-0.929669
FAM207A,2.23039,0.127607,0.995013
FAM20B,3.70988,0.0941065,-1.04138
FAM20C,0.56087,0.581931,-0.241227
FAM210A,0.697498,0.42613,-0.38584
FAM219A,1.63807,0.207262,0.732271
FAM221A,1.8529,0.00609668,4.09593
FAM222B,3.52936,0.0108647,2.11846
FAM234A,0.58969,0.405818,-0.442845
FAM241B,3.09999,0.0083118,2.45792
FAM3A,0.616948,0.634776,0.198937
FAM3C,1.63117,0.31461,-0.481205
FAM43A,0.355669,0.543247,-0.305878
FAM50A,0.797961,0.287444,0.637556
FAM53C,3.01613,0.0304301,1.66045
FAM76B,5.54331,0.041136,-1.30209
FAM83D,3.49734,0.00948875,2.2408
FAM83F,3.83354,0.0253983,1.62385
FAM83G,4.49003,0.00478222,2.5436
FAM83H,4.58582,0.004792,2.48324
FAM89A,0.808497,0.269509,0.676751
FAM89B,2.15986,0.1089,1.0949
FAM8A1,1.04178,0.263456,0.643068
FAM91A1,2.45882,0.12753,-0.966576
FAM92A,1.69832,0.0844439,-1.36618
FAM98A,0.605442,0.595659,0.229278
FAM98B,4.03256,0.0431088,-1.35774
FANCI,2.29684,0.0345483,1.78324
FAP,0.308765,0.527335,-0.34492
FAR1,3.06663,0.0452508,-1.44601
FARP1,1.5037,0.163779,-0.92392
FARP2,0.0732312,0.90264,0.0628522
FARS2,1.95638,0.0436962,-1.77389
FARSA,2.29122,0.266052,0.544715
FARSB,1.38051,0.584441,0.217486
FAS,1.50373,0.0421238,-2.09367
FASN,0.517195,0.665727,-0.185444
FASTK,2.72623,0.12433,0.965433
FASTKD2,1.01056,0.252051,-0.680592
FASTKD5,0.345459,0.78602,-0.113829
FAT1,4.10741,0.100598,0.990412
FAT4,1.25958,0.273799,-0.58796
FAU,2.43498,0.0356874,1.7348
FBH1,0.965048,0.425333,0.368956
FBL,2.37153,0.245063,-0.584285
FBLIM1,4.8402,0.00545714,2.27775
FBLN1,0.221581,0.812362,-0.104326
FBLN5,0.791943,0.293985,-0.62442
FBN1,0.339964,0.743853,-0.141308
FBN2,1.66245,0.132947,-1.04436
FBRS,1.59332,0.142961,1.00455
FBRSL1,2.2654,0.0162694,2.36324
FBXL15,2.10474,0.0438617,1.65866
FBXL17,1.70052,0.0507894,-1.76329
FBXL18,0.578317,0.465258,-0.354046
FBXL2,1.92267,0.00946939,-3.30175
FBXL20,1.96692,0.0994358,-1.20083
FBXL8,0.523163,0.74491,0.132973
FBXO10,1.02925,0.474075,0.311126
FBXO11,2.17734,0.240446,-0.603331
FBXO17,2.1709,0.272542,-0.53522
FBXO2,0.44775,0.517332,0.314795
FBXO21,1.42977,0.397256,0.374984
FBXO22,1.22765,0.244838,-0.665868
FBXO28,0.368416,0.599518,0.245944
FBXO3,0.318794,0.776085,-0.122395
FBXO30,2.71588,0.0218284,1.93331
FBXO38,0.0785399,0.908919,-0.0544191
FBXO42,2.79853,0.0263119,1.80314
FBXO44,2.58429,0.0300059,1.79396
FBXO46,2.78967,0.0328072,1.65331
FBXO6,0.0935738,0.881478,-0.0718452
FBXO7,2.29209,0.00491339,-3.78846
FBXO9,0.57458,0.599515,0.225598
FBXW11,0.601352,0.357863,-0.516424
FBXW4,0.0261778,0.977873,0.0121059
FBXW8,0.390641,0.709196,-0.159824
FBXW9,0.171968,0.87456,-0.0690104
FCGRT,1.39164,0.332896,-0.463554
FCHO2,1.89226,0.175074,-0.819389
FCHSD1,2.18788,0.164529,0.834938
FCHSD2,4.0183,0.160425,-0.759648
FCSK,0.827068,0.430242,-0.369274
FDFT1,3.9274,0.144968,-0.813359
FDPS,1.76065,0.413274,0.349281
FDX1,1.28236,0.406596,0.367852
FDX2,2.64307,0.0298076,1.79134
FDXR,3.46393,0.11142,0.965898
FECH,0.406384,0.637144,0.209981
FEM1B,1.20223,0.186902,-0.876906
FEN1,0.671561,0.374274,-0.467004
FER,1.87562,0.178907,0.807133
FERMT1,0.480536,0.478167,-0.357229
FERMT2,0.129413,0.860323,0.0808199
FEZ2,0.809563,0.543574,-0.259702
FGB,5.92698,0.00266,3.19619
FGD1,0.389817,0.575663,-0.265417
FGD4,5.63107,0.00440659,2.47519
FGD6,3.0107,0.196285,-0.687259
FGF2,4.57428,0.0402134,1.36785
FGFR1,4.29282,0.0394307,-1.38861
FGFR1OP2,2.60362,0.0211881,2.02315
FGFRL1,2.07783,0.00489756,-4.69506
FGGY,0.247975,0.70337,-0.178992
FH,0.832705,0.530521,0.271882
FHIT,2.22176,0.00370588,5.40122
FHL1,1.2337,0.174223,-0.93824
FHL2,1.76404,0.0862657,1.34993
FHL3,0.775817,0.392486,-0.422174
FHOD1,0.71307,0.54192,-0.270781
FHOD3,5.00195,0.00392593,3.81301
FIBP,1.02231,0.216379,-0.80726
FIG4,1.42084,0.334765,0.45879
FIGNL1,1.6131,0.209012,0.728695
FILIP1,0.780839,0.264782,0.700331
FILIP1L,4.24526,0.0121826,1.94329
FIP1L1,0.994536,0.294033,0.575095
FIS1,0.158936,0.829319,-0.0989576
FKBP10,1.45275,0.308678,0.502225
FKBP14,0.110281,0.902992,-0.0545591
FKBP15,0.132071,0.871745,-0.0730251
FKBP1A,3.54043,0.0103236,2.18317
FKBP1B,2.32558,0.118093,-1.02478
FKBP2,2.18674,0.129018,0.982746
FKBP3,1.29654,0.262991,-0.610348
FKBP4,1.15667,0.490586,-0.29111
FKBP5,6.91286,0.00482692,-2.27381
FKBP7,1.26705,0.140342,1.11119
FKBP8,1.85608,0.325786,0.45691
FKBP9,3.36771,0.176818,-0.732572
FKBPL,3.10354,0.0642821,1.28213
FKRP,2.27135,0.394167,0.359751
FLAD1,0.325402,0.604697,-0.25084
FLCN,0.848762,0.415139,-0.384623
FLII,5.0417,0.215868,0.596347
FLNA,2.56916,0.166788,0.794364
FLNB,2.04756,0.00654213,3.64829
FLNC,1.25152,0.212302,0.766704
FLOT1,1.42658,0.1854,0.83846
FLOT2,2.1962,0.228936,0.631185
FLRT2,2.18579,0.140253,-0.934701
FLVCR1,1.22926,0.0943455,1.50876
FLYWCH1,2.84924,0.0421137,1.52674
FLYWCH2,1.90603,0.107324,1.15593
FMC1,1.38186,0.0889561,-1.47501
FMN2,3.20912,0.00606825,2.63699
FMNL2,2.28947,0.311715,-0.46535
FMNL3,0.0320507,0.978789,-0.011181
FMR1,0.903503,0.575771,0.23066
FN1,0.360682,0.834956,-0.0854745
FN3K,2.31028,0.0926344,1.15801
FN3KRP,0.294024,0.739011,0.146903
FNBP1,1.80866,0.185084,0.789857
FNBP1L,0.115913,0.855489,-0.0892512
FNBP4,0.429768,0.600628,0.236216
FNDC3A,2.92051,0.120827,-0.956964
FNDC3B,0.545485,0.737426,-0.136972
FNIP1,3.27116,0.169478,0.758559
FNTA,1.77996,0.0866117,-1.33987
FNTB,1.45875,0.0376132,-2.26287
FOCAD,1.70797,0.0815198,-1.40882
FOSL2,1.92966,0.0559133,1.58435
FOXC1,2.18133,0.140317,-0.933843
FOXC2,0.0838562,0.870044,-0.0829371
FOXF2,1.16208,0.392035,-0.392368
FOXJ2,1.03403,0.201392,-0.86389
FOXJ3,2.14233,0.0715581,1.37002
FOXK1,1.29255,0.484748,-0.291621
FOXK2,0.444477,0.693701,0.166725
FOXO3,0.641441,0.491307,-0.318937
FOXP1,1.65363,0.31243,-0.484714
FOXP2,2.22149,0.174426,-0.794183
FOXP4,1.52579,0.194382,-0.78959
FOXRED1,2.75747,0.466177,-0.289012
FOXRED2,0.00816147,0.988223,-0.0068189
FPGS,4.67966,0.0292096,1.49553
FRA10AC1,1.56048,0.28744,0.535734
FRAS1,3.96769,0.00195588,3.71433
FRG1,0.490992,0.505423,-0.321359
FRMD4A,1.95518,0.169774,0.83493
FRMD6,2.99491,0.0363378,1.60142
FRMD8,1.70393,0.205028,0.732147
FRMPD3,1.36913,0.126043,1.17423
FRS2,1.40719,0.15347,0.987051
FRYL,0.492301,0.628,0.210114
FSCN1,0.17144,0.854576,-0.0812378
FSD1,0.78755,0.750447,0.125367
FSTL1,3.4555,0.046129,1.38575
FTH1,0.341106,0.626485,0.225645
FTL,1.63216,0.0619189,1.61758
FTO,2.53358,0.266577,-0.535664
FTSJ1,0.455759,0.358713,-0.582453
FTSJ3,3.01684,0.20646,-0.656367
FUBP1,0.448172,0.708441,-0.157886
FUBP3,0.882194,0.385577,0.426161
FUCA1,0.56119,0.403193,-0.444501
FUCA2,1.10392,0.134006,-1.23627
FUNDC2,0.712275,0.533991,0.27126
FUOM,2.48524,0.185043,0.737521
FUS,4.92282,0.00474359,-2.57165
FUT11,2.89267,0.26015,-0.538827
FUT8,1.97906,0.269344,-0.549515
FXN,2.23,0.0245182,2.08361
FXR1,2.18408,0.280544,0.520598
FXR2,3.43492,0.0377399,1.50526
FYCO1,0.0156437,0.982733,0.00963464
FYN,0.32819,0.591258,0.269935
FYTTD1,1.25497,0.312379,0.508374
FZD2,2.40749,0.00615294,-3.1775
FZD6,4.94509,0.00494265,2.3437
FZD7,0.921467,0.456172,-0.334554
FZR1,2.087,0.0484131,1.63959
G3BP1,2.25998,0.146373,0.899167
G3BP2,2.57117,0.166307,0.802828
G6PD,2.65472,0.136512,-0.898708
GAA,0.667227,0.808212,-0.096023
GAB1,3.27268,0.124772,-0.923987
GAB2,2.47442,0.0770735,1.26244
GABARAP,1.65334,0.246837,-0.617723
GABARAPL2,1.57801,0.0553575,-1.77239
GABPA,4.71494,0.0920567,-1.00289
GABPB1,2.82688,0.0892613,-1.13674
GADD45GIP1,0.146456,0.935739,-0.0340132
GAK,3.70116,0.20445,0.642589
GAL3ST4,0.944684,0.314729,-0.542023
GALC,1.64712,0.0840562,-1.40175
GALE,0.665568,0.590975,0.227711
GALK1,2.17817,0.414904,-0.340111
GALK2,2.04394,0.178228,-0.796455
GALM,3.00874,0.17566,-0.748647
GALNS,3.89762,0.0338272,-1.4904
GALNT1,0.720893,0.404488,-0.410708
GALNT10,1.93961,0.101586,-1.18973
GALNT2,0.0759549,0.914639,0.050766
GALNT3,4.22693,0.00422674,2.80448
GALNT4,0.760868,0.47986,0.330047
GALNT5,5.68911,0.00474208,2.36532
GALNT7,0.152408,0.787991,-0.130159
GALT,3.14832,0.222005,0.613194
GAMT,1.14764,0.197413,0.851028
GAN,4.42208,0.0152619,1.81035
GANAB,0.514991,0.732024,-0.145443
GAPDH,2.20852,0.202533,0.702537
GAPVD1,1.95936,0.302489,0.490909
GAR1,1.97258,0.0522279,-1.60676
GAREM1,1.54297,0.217874,0.708235
GARRE1,3.19845,0.0202793,1.86731
GARS1,0.877459,0.305269,-0.568634
GART,0.030635,0.982703,0.00910332
GAS2L1,3.67182,0.0619099,1.2385
GAS6,2.09075,0.134132,0.973523
GAS7,2.16616,0.0671088,-1.4111
GATAD1,0.920827,0.181246,-1.01073
GATAD2A,2.08997,0.135554,0.962675
GATAD2B,1.47167,0.141289,1.0425
GATB,2.1299,0.104538,1.13403
GATC,2.19402,0.0171806,2.36306
GATD1,1.41214,0.349706,-0.437158
GATD3A,3.17242,0.0937963,1.07932
GBA,0.479853,0.523316,-0.305779
GBA2,3.1753,0.0707771,1.2257
GBE1,1.31362,0.352394,-0.439307
GBF1,0.925309,0.402441,-0.394459
GBP1,3.31891,0.0549409,1.3348
GBP2,0.967255,0.179105,1.00145
GCAT,1.99568,0.283434,-0.522851
GCC1,2.08957,0.16818,0.822623
GCC2,0.4652,0.661777,-0.187458
GCDH,0.0492642,0.951958,-0.0278461
